"","Subject","Condition","X2","T2","X1","T1","LaterOptionChosen"
"1",1,0,5.42,1,1,0,0
"2",1,0,5.42,2,1,0,0
"3",1,0,5.42,3,1,0,0
"4",1,0,5.42,4,1,0,0
"5",1,0,5.42,5,1,0,0
"6",1,0,5.42,6,1,0,0
"7",1,0,4.87,1,1,0,0
"8",1,0,4.87,2,1,0,0
"9",1,0,4.87,3,1,0,0
"10",1,0,4.87,4,1,0,0
"11",1,0,4.87,5,1,0,0
"12",1,0,4.87,6,1,0,0
"13",1,0,3.37,1,1,0,0
"14",1,0,3.37,2,1,0,0
"15",1,0,3.37,3,1,0,0
"16",1,0,3.37,4,1,0,0
"17",1,0,3.37,5,1,0,0
"18",1,0,3.37,6,1,0,0
"19",1,0,6.18,1,1,0,0
"20",1,0,6.18,2,1,0,0
"21",1,0,6.18,3,1,0,0
"22",1,0,6.18,4,1,0,0
"23",1,0,6.18,5,1,0,0
"24",1,0,6.18,6,1,0,0
"25",1,0,5.15,1,1,0,0
"26",1,0,5.15,2,1,0,0
"27",1,0,5.15,3,1,0,0
"28",1,0,5.15,4,1,0,0
"29",1,0,5.15,5,1,0,0
"30",1,0,5.15,6,1,0,0
"31",1,0,3.52,1,1,0,0
"32",1,0,3.52,2,1,0,0
"33",1,0,3.52,3,1,0,0
"34",1,0,3.52,4,1,0,0
"35",1,0,3.52,5,1,0,0
"36",1,0,3.52,6,1,0,0
"37",1,0,5.05,1,1,0,0
"38",1,0,5.05,2,1,0,0
"39",1,0,5.05,3,1,0,0
"40",1,0,5.05,4,1,0,0
"41",1,0,5.05,5,1,0,0
"42",1,0,5.05,6,1,0,0
"43",1,0,3.51,1,1,0,0
"44",1,0,3.51,2,1,0,0
"45",1,0,3.51,3,1,0,0
"46",1,0,3.51,4,1,0,0
"47",1,0,3.51,5,1,0,0
"48",1,0,3.51,6,1,0,0
"49",1,0,3.94,1,1,0,0
"50",1,0,3.94,2,1,0,0
"51",1,0,3.94,3,1,0,0
"52",1,0,3.94,4,1,0,0
"53",1,0,3.94,5,1,0,0
"54",1,0,3.94,6,1,0,0
"55",1,0,4.76,1,1,0,0
"56",1,0,4.76,2,1,0,0
"57",1,0,4.76,3,1,0,0
"58",1,0,4.76,4,1,0,0
"59",1,0,4.76,5,1,0,0
"60",1,0,4.76,6,1,0,0
"61",1,0,3.86,1,1,0,0
"62",1,0,3.86,2,1,0,0
"63",1,0,3.86,3,1,0,0
"64",1,0,3.86,4,1,0,0
"65",1,0,3.86,5,1,0,0
"66",1,0,3.86,6,1,0,0
"67",1,0,3.72,1,1,0,0
"68",1,0,3.72,2,1,0,0
"69",1,0,3.72,3,1,0,0
"70",1,0,3.72,4,1,0,0
"71",1,0,3.72,5,1,0,0
"72",1,0,3.72,6,1,0,0
"73",1,0,5.93,1,1,0,0
"74",1,0,5.93,2,1,0,0
"75",1,0,5.93,3,1,0,0
"76",1,0,5.93,4,1,0,0
"77",1,0,5.93,5,1,0,0
"78",1,0,5.93,6,1,0,0
"79",1,0,5.84,1,1,0,0
"80",1,0,5.84,2,1,0,0
"81",1,0,5.84,3,1,0,0
"82",1,0,5.84,4,1,0,0
"83",1,0,5.84,5,1,0,0
"84",1,0,5.84,6,1,0,0
"85",1,0,3.23,1,1,0,0
"86",1,0,3.23,2,1,0,0
"87",1,0,3.23,3,1,0,0
"88",1,0,3.23,4,1,0,0
"89",1,0,3.23,5,1,0,0
"90",1,0,3.23,6,1,0,0
"91",1,0,3.02,1,1,0,0
"92",1,0,3.02,2,1,0,0
"93",1,0,3.02,3,1,0,0
"94",1,0,3.02,4,1,0,0
"95",1,0,3.02,5,1,0,0
