"","Subject","Condition","X2","T2","X1","T1","LaterOptionChosen"
"1",1,0,1.2,2,1,0,1
"2",1,0,1.2,3,1,0,0
"3",1,0,1.2,4,1,0,0
"4",1,0,1.2,5,1,0,0
"5",1,0,1.2,6,1,0,0
"6",1,0,1.2,7,1,0,0
"7",1,0,1.29,2,1,0,1
"8",1,0,1.29,3,1,0,0
"9",1,0,1.29,4,1,0,0
"10",1,0,1.29,5,1,0,0
"11",1,0,1.29,6,1,0,0
"12",1,0,1.29,7,1,0,0
"13",1,0,1.32,2,1,0,1
"14",1,0,1.32,3,1,0,0
"15",1,0,1.32,4,1,0,0
"16",1,0,1.32,5,1,0,0
"17",1,0,1.32,6,1,0,0
"18",1,0,1.32,7,1,0,0
"19",1,0,1.27,2,1,0,1
"20",1,0,1.27,3,1,0,0
"21",1,0,1.27,4,1,0,0
"22",1,0,1.27,5,1,0,0
"23",1,0,1.27,6,1,0,0
"24",1,0,1.27,7,1,0,0
"25",1,0,1.3,2,1,0,1
"26",1,0,1.3,3,1,0,0
"27",1,0,1.3,4,1,0,0
"28",1,0,1.3,5,1,0,0
"29",1,0,1.3,6,1,0,0
"30",1,0,1.3,7,1,0,0
"31",1,0,1.35,2,1,0,1
"32",1,0,1.35,3,1,0,0
"33",1,0,1.35,4,1,0,0
"34",1,0,1.35,5,1,0,0
"35",1,0,1.35,6,1,0,0
"36",1,0,1.35,7,1,0,0
"37",1,0,1.37,2,1,0,1
"38",1,0,1.37,3,1,0,0
"39",1,0,1.37,4,1,0,0
"40",1,0,1.37,5,1,0,0
"41",1,0,1.37,6,1,0,0
"42",1,0,1.37,7,1,0,0
"43",1,0,1.25,2,1,0,1
"44",1,0,1.25,3,1,0,0
"45",1,0,1.25,4,1,0,0
"46",1,0,1.25,5,1,0,0
"47",1,0,1.25,6,1,0,0
"48",1,0,1.25,7,1,0,0
"49",1,0,1.24,2,1,0,1
"50",1,0,1.24,3,1,0,0
"51",1,0,1.24,4,1,0,0
"52",1,0,1.24,5,1,0,0
"53",1,0,1.24,6,1,0,0
"54",1,0,1.24,7,1,0,0
"55",1,0,1.22,2,1,0,1
"56",1,0,1.22,3,1,0,0
"57",1,0,1.22,4,1,0,0
"58",1,0,1.22,5,1,0,0
"59",1,0,1.22,6,1,0,0
"60",1,0,1.22,7,1,0,0
"61",1,0,1.31,2,1,0,1
"62",1,0,1.31,3,1,0,0
"63",1,0,1.31,4,1,0,0
"64",1,0,1.31,5,1,0,0
"65",1,0,1.31,6,1,0,0
"66",1,0,1.31,7,1,0,0
"67",1,0,1.4,2,1,0,1
"68",1,0,1.4,3,1,0,1
"69",1,0,1.4,4,1,0,0
"70",1,0,1.4,5,1,0,0
"71",1,0,1.4,6,1,0,0
"72",1,0,1.4,7,1,0,0
"73",1,0,1.42,2,1,0,1
"74",1,0,1.42,3,1,0,1
"75",1,0,1.42,4,1,0,0
"76",1,0,1.42,5,1,0,0
"77",1,0,1.42,6,1,0,0
"78",1,0,1.42,7,1,0,0
"79",1,0,1.23,2,1,0,1
"80",1,0,1.23,3,1,0,0
"81",1,0,1.23,4,1,0,0
"82",1,0,1.23,5,1,0,0
"83",1,0,1.23,6,1,0,0
"84",1,0,1.23,7,1,0,0
"85",1,0,1.08,2,1,0,0
"86",1,0,1.08,3,1,0,0
"87",1,0,1.08,4,1,0,0
"88",1,0,1.08,5,1,0,0
"89",1,0,1.08,6,1,0,0
"90",1,0,1.08,7,1,0,0
"91",1,0,1.15,2,1,0,0
"92",1,0,1.15,3,1,0,0
"93",1,0,1.15,4,1,0,0
"94",1,0,1.15,5,1,0,0
"95",1,0,1.15,6,1,0,0
"96",1,0,1.15,7,1,0,0
"97",1,0,1.19,2,1,0,0
"98",1,0,1.19,3,1,0,0
"99",1,0,1.19,4,1,0,0
"100",1,0,1.19,5,1,0,0
"101",1,0,1.19,6,1,0,0
"102",1,0,1.19,7,1,0,0
"103",1,0,1.26,2,1,0,1
"104",1,0,1.26,3,1,0,0
"105",1,0,1.26,4,1,0,0
"106",1,0,1.26,5,1,0,0
"107",1,0,1.26,6,1,0,0
"108",1,0,1.26,7,1,0,0
"109",1,0,1.51,2,1,0,1
"110",1,0,1.51,3,1,0,1
"111",1,0,1.51,4,1,0,0
"112",1,0,1.51,5,1,0,0
"113",1,0,1.51,6,1,0,0
"114",1,0,1.51,7,1,0,0
"115",1,0,1.13,2,1,0,0
"116",1,0,1.13,3,1,0,0
"117",1,0,1.13,4,1,0,0
"118",1,0,1.13,5,1,0,0
"119",1,0,1.13,6,1,0,0
"120",1,0,1.13,7,1,0,0
"121",1,0,1.41,2,1,0,1
"122",1,0,1.41,3,1,0,1
"123",1,0,1.41,4,1,0,0
"124",1,0,1.41,5,1,0,0
"125",1,0,1.41,6,1,0,0
"126",1,0,1.41,7,1,0,0
"127",1,0,1.5,2,1,0,1
"128",1,0,1.5,3,1,0,1
"129",1,0,1.5,4,1,0,1
"130",1,0,1.5,5,1,0,0
"131",1,0,1.5,6,1,0,0
"132",1,0,1.5,7,1,0,0
"133",1,0,1.34,2,1,0,1
"134",1,0,1.34,3,1,0,1
"135",1,0,1.34,4,1,0,0
"136",1,0,1.34,5,1,0,0
"137",1,0,1.34,6,1,0,0
"138",1,0,1.34,7,1,0,0
"139",1,0,1.48,2,1,0,1
"140",1,0,1.48,3,1,0,1
"141",1,0,1.48,4,1,0,0
"142",1,0,1.48,5,1,0,0
"143",1,0,1.48,6,1,0,0
"144",1,0,1.48,7,1,0,0
"145",1,0,1.16,2,1,0,0
"146",1,0,1.16,3,1,0,0
"147",1,0,1.16,4,1,0,0
"148",1,0,1.16,5,1,0,0
"149",1,0,1.16,6,1,0,0
"150",1,0,1.16,7,1,0,0
"151",1,0,1.44,2,1,0,1
"152",1,0,1.44,3,1,0,1
"153",1,0,1.44,4,1,0,0
"154",1,0,1.44,5,1,0,0
"155",1,0,1.44,6,1,0,0
"156",1,0,1.44,7,1,0,0
"157",1,0,1.14,2,1,0,0
"158",1,0,1.14,3,1,0,0
"159",1,0,1.14,4,1,0,0
"160",1,0,1.14,5,1,0,0
"161",1,0,1.14,6,1,0,0
"162",1,0,1.14,7,1,0,0
"163",1,0,1.11,2,1,0,0
"164",1,0,1.11,3,1,0,0
"165",1,0,1.11,4,1,0,0
"166",1,0,1.11,5,1,0,0
"167",1,0,1.11,6,1,0,0
"168",1,0,1.11,7,1,0,0
"169",1,0,1.39,2,1,0,1
"170",1,0,1.39,3,1,0,0
"171",1,0,1.39,4,1,0,0
"172",1,0,1.39,5,1,0,0
"173",1,0,1.39,6,1,0,0
"174",1,0,1.39,7,1,0,0
"175",1,0,1.45,2,1,0,1
"176",1,0,1.45,3,1,0,1
"177",1,0,1.45,4,1,0,0
"178",1,0,1.45,5,1,0,0
"179",1,0,1.45,6,1,0,0
"180",1,0,1.45,7,1,0,0
"181",1,0,1.05,2,1,0,0
"182",1,0,1.05,3,1,0,0
"183",1,0,1.05,4,1,0,0
"184",1,0,1.05,5,1,0,0
"185",1,0,1.05,6,1,0,0
"186",1,0,1.05,7,1,0,0
"187",1,0,1.28,2,1,0,0
"188",1,0,1.28,3,1,0,0
"189",1,0,1.28,4,1,0,0
"190",1,0,1.28,5,1,0,0
"191",1,0,1.28,6,1,0,0
"192",1,0,1.28,7,1,0,0
"193",1,0,1.47,2,1,0,1
"194",1,0,1.47,3,1,0,1
"195",1,0,1.47,4,1,0,0
"196",1,0,1.47,5,1,0,0
"197",1,0,1.47,6,1,0,0
"198",1,0,1.47,7,1,0,0
"199",1,0,1.46,2,1,0,1
"200",1,0,1.46,3,1,0,1
"201",1,0,1.46,4,1,0,0
"202",1,0,1.46,5,1,0,0
"203",1,0,1.46,6,1,0,0
"204",1,0,1.46,7,1,0,0
"205",1,0,1.43,2,1,0,1
"206",1,0,1.43,3,1,0,1
"207",1,0,1.43,4,1,0,0
"208",1,0,1.43,5,1,0,0
"209",1,0,1.43,6,1,0,0
"210",1,0,1.43,7,1,0,0
"211",1,0,1.18,2,1,0,0
"212",1,0,1.18,3,1,0,0
"213",1,0,1.18,4,1,0,0
"214",1,0,1.18,5,1,0,0
"215",1,0,1.18,6,1,0,0
"216",1,0,1.18,7,1,0,0
"217",1,0,1.17,2,1,0,0
"218",1,0,1.17,3,1,0,0
"219",1,0,1.17,4,1,0,0
"220",1,0,1.17,5,1,0,0
"221",1,0,1.17,6,1,0,0
"222",1,0,1.17,7,1,0,0
"223",1,0,1,2,1,0,0
"224",1,0,1,3,1,0,0
"225",1,0,1,4,1,0,0
"226",1,0,1,5,1,0,0
"227",1,0,1,6,1,0,0
"228",1,0,1,7,1,0,0
"229",1,0,1.36,2,1,0,1
"230",1,0,1.36,3,1,0,0
"231",1,0,1.36,4,1,0,0
"232",1,0,1.36,5,1,0,0
"233",1,0,1.36,6,1,0,0
"234",1,0,1.36,7,1,0,0
"235",1,0,1.09,2,1,0,0
"236",1,0,1.09,3,1,0,0
"237",1,0,1.09,4,1,0,0
"238",1,0,1.09,5,1,0,0
"239",1,0,1.09,6,1,0,0
"240",1,0,1.09,7,1,0,0
"241",2,1,1,2,1,0,0
"242",2,1,1,3,1,0,0
"243",2,1,1,4,1,0,0
"244",2,1,1,5,1,0,0
"245",2,1,1,6,1,0,0
"246",2,1,1,7,1,0,0
"247",2,1,1.11,2,1,0,1
"248",2,1,1.11,3,1,0,1
"249",2,1,1.11,4,1,0,1
"250",2,1,1.11,5,1,0,1
"251",2,1,1.11,6,1,0,1
"252",2,1,1.11,7,1,0,1
"253",2,1,1.05,2,1,0,1
"254",2,1,1.05,3,1,0,1
"255",2,1,1.05,4,1,0,1
"256",2,1,1.05,5,1,0,1
"257",2,1,1.05,6,1,0,1
"258",2,1,1.05,7,1,0,1
"259",2,1,1.16,2,1,0,1
"260",2,1,1.16,3,1,0,1
"261",2,1,1.16,4,1,0,1
"262",2,1,1.16,5,1,0,1
"263",2,1,1.16,6,1,0,1
"264",2,1,1.16,7,1,0,1
"265",2,1,1.55,2,1,0,1
"266",2,1,1.55,3,1,0,1
"267",2,1,1.55,4,1,0,1
"268",2,1,1.55,5,1,0,1
"269",2,1,1.55,6,1,0,1
"270",2,1,1.55,7,1,0,1
"271",2,1,1.25,2,1,0,1
"272",2,1,1.25,3,1,0,1
"273",2,1,1.25,4,1,0,1
"274",2,1,1.25,5,1,0,1
"275",2,1,1.25,6,1,0,1
"276",2,1,1.25,7,1,0,1
"277",2,1,1.37,2,1,0,1
"278",2,1,1.37,3,1,0,1
"279",2,1,1.37,4,1,0,1
"280",2,1,1.37,5,1,0,1
"281",2,1,1.37,6,1,0,1
"282",2,1,1.37,7,1,0,1
"283",2,1,1.46,2,1,0,1
"284",2,1,1.46,3,1,0,1
"285",2,1,1.46,4,1,0,1
"286",2,1,1.46,5,1,0,1
"287",2,1,1.46,6,1,0,1
"288",2,1,1.46,7,1,0,1
"289",2,1,1.17,2,1,0,1
"290",2,1,1.17,3,1,0,1
"291",2,1,1.17,4,1,0,1
"292",2,1,1.17,5,1,0,1
"293",2,1,1.17,6,1,0,1
"294",2,1,1.17,7,1,0,1
"295",2,1,1.45,2,1,0,1
"296",2,1,1.45,3,1,0,1
"297",2,1,1.45,4,1,0,1
"298",2,1,1.45,5,1,0,1
"299",2,1,1.45,6,1,0,1
"300",2,1,1.45,7,1,0,1
"301",2,1,1.24,2,1,0,1
"302",2,1,1.24,3,1,0,1
"303",2,1,1.24,4,1,0,1
"304",2,1,1.24,5,1,0,1
"305",2,1,1.24,6,1,0,1
"306",2,1,1.24,7,1,0,1
"307",2,1,1.28,2,1,0,1
"308",2,1,1.28,3,1,0,1
"309",2,1,1.28,4,1,0,1
"310",2,1,1.28,5,1,0,1
"311",2,1,1.28,6,1,0,1
"312",2,1,1.28,7,1,0,1
"313",2,1,1.01,2,1,0,1
"314",2,1,1.01,3,1,0,1
"315",2,1,1.01,4,1,0,1
"316",2,1,1.01,5,1,0,1
"317",2,1,1.01,6,1,0,1
"318",2,1,1.01,7,1,0,1
"319",2,1,1.58,2,1,0,1
"320",2,1,1.58,3,1,0,1
"321",2,1,1.58,4,1,0,1
"322",2,1,1.58,5,1,0,1
"323",2,1,1.58,6,1,0,1
"324",2,1,1.58,7,1,0,1
"325",2,1,1.39,2,1,0,1
"326",2,1,1.39,3,1,0,1
"327",2,1,1.39,4,1,0,1
"328",2,1,1.39,5,1,0,1
