Subject,Condition,X2,T2,X1,T1,LaterOptionChosen
1,1,2,365,10,0,0
1,1,4,365,10,0,0
1,1,6,365,10,0,0
1,1,8,365,10,0,0
1,1,10,365,10,0,0
1,1,12,365,10,0,0
1,1,14,365,10,0,0
1,1,16,365,10,0,0
1,1,18,365,10,0,0
1,1,-2,365,-10,0,0
1,1,-4,365,-10,0,0
1,1,-6,365,-10,0,0
1,1,-8,365,-10,0,0
1,1,-10,365,-10,0,0
1,1,-12,365,-10,0,0
1,1,-14,365,-10,0,0
1,1,-16,365,-10,0,0
1,1,-18,365,-10,0,0
2,1,2,365,10,0,0
2,1,4,365,10,0,0
2,1,6,365,10,0,0
2,1,8,365,10,0,0
2,1,10,365,10,0,1
2,1,12,365,10,0,1
2,1,14,365,10,0,1
2,1,16,365,10,0,1
2,1,18,365,10,0,1
2,1,-2,365,-10,0,1
2,1,-4,365,-10,0,1
2,1,-6,365,-10,0,1
2,1,-8,365,-10,0,1
2,1,-10,365,-10,0,1
2,1,-12,365,-10,0,1
2,1,-14,365,-10,0,1
2,1,-16,365,-10,0,0
2,1,-18,365,-10,0,0
3,1,2,365,10,0,0
3,1,4,365,10,0,0
3,1,6,365,10,0,0
3,1,8,365,10,0,0
3,1,10,365,10,0,0
3,1,12,365,10,0,0
3,1,14,365,10,0,0
3,1,16,365,10,0,0
3,1,18,365,10,0,0
3,1,-2,365,-10,0,0
3,1,-4,365,-10,0,0
3,1,-6,365,-10,0,0
3,1,-8,365,-10,0,0
3,1,-10,365,-10,0,0
3,1,-12,365,-10,0,0
3,1,-14,365,-10,0,0
3,1,-16,365,-10,0,0
3,1,-18,365,-10,0,0
4,1,2,365,10,0,0
4,1,4,365,10,0,0
4,1,6,365,10,0,0
4,1,8,365,10,0,0
4,1,10,365,10,0,0
4,1,12,365,10,0,0
4,1,14,365,10,0,1
4,1,16,365,10,0,1
4,1,18,365,10,0,1
4,1,-2,365,-10,0,1
4,1,-4,365,-10,0,1
4,1,-6,365,-10,0,1
4,1,-8,365,-10,0,1
4,1,-10,365,-10,0,0
4,1,-12,365,-10,0,0
4,1,-14,365,-10,0,0
4,1,-16,365,-10,0,0
4,1,-18,365,-10,0,0
5,1,2,365,10,0,0
5,1,4,365,10,0,0
5,1,6,365,10,0,0
5,1,8,365,10,0,0
5,1,10,365,10,0,0
5,1,12,365,10,0,1
5,1,14,365,10,0,1
5,1,16,365,10,0,1
5,1,18,365,10,0,1
5,1,-2,365,-10,0,0
5,1,-4,365,-10,0,0
5,1,-6,365,-10,0,0
5,1,-8,365,-10,0,0
5,1,-10,365,-10,0,0
5,1,-12,365,-10,0,0
5,1,-14,365,-10,0,0
5,1,-16,365,-10,0,0
5,1,-18,365,-10,0,0
6,1,2,365,10,0,0
6,1,4,365,10,0,0
6,1,6,365,10,0,0
6,1,8,365,10,0,0
6,1,10,365,10,0,0
6,1,12,365,10,0,0
6,1,14,365,10,0,0
6,1,16,365,10,0,0
6,1,18,365,10,0,0
6,1,-2,365,-10,0,0
6,1,-4,365,-10,0,0
6,1,-6,365,-10,0,0
6,1,-8,365,-10,0,0
6,1,-10,365,-10,0,0
6,1,-12,365,-10,0,0
6,1,-14,365,-10,0,0
6,1,-16,365,-10,0,0
6,1,-18,365,-10,0,0
7,1,2,365,10,0,0
7,1,4,365,10,0,0
7,1,6,365,10,0,0
7,1,8,365,10,0,0
7,1,10,365,10,0,0
7,1,12,365,10,0,0
7,1,14,365,10,0,0
7,1,16,365,10,0,0
7,1,18,365,10,0,0
7,1,-2,365,-10,0,0
7,1,-4,365,-10,0,0
7,1,-6,365,-10,0,0
7,1,-8,365,-10,0,0
7,1,-10,365,-10,0,0
7,1,-12,365,-10,0,0
7,1,-14,365,-10,0,0
7,1,-16,365,-10,0,0
