Gender,Ethnicity,Age,Condition,Manipulation,Magnitude,Choice,Justification
Male,Caucasian,53,1,1,1,22.0,
Male,Caucasian,41,1,1,1,30.0,
Female,Caucasian,55,1,1,1,100.0,
Female,Caucasian,22,1,1,1,25.0,
Female,Asian American,39,1,1,1,200.0,
Female,Caucasian,51,1,1,1,100.0,
Female,Caucasian,47,1,1,1,40.0,
Female,Caucasian,38,1,1,1,40.0,
Female,Caucasian,24,1,1,1,100.0,
Male,Caucasian,25,1,1,1,24.0,
Male,Caucasian,76,1,1,1,21.0,
Male,Asian American,33,1,1,1,25.0,
Male,Caucasian,27,1,1,1,35.0,
Male,Caucasian,29,1,1,1,21.0,
Male,Caucasian,21,1,1,1,40.0,
Male,Caucasian,24,1,1,1,40.0,
Male,Asian American,29,1,1,1,50.0,
Male,Caucasian,22,1,1,1,100.0,
Male,Caucasian,28,1,1,1,30.0,
Male,Caucasian,41,1,1,1,50.0,
Female,Caucasian,32,1,1,1,40.0,
Male,Caucasian,24,1,1,1,22.0,
Male,Caucasian,20,1,1,1,100.0,
Male,Caucasian,20,1,1,1,50.0,
Male,Hispanic,30,1,1,1,30.0,
Male,Caucasian,23,1,1,1,30.0,
Male,Caucasian,38,1,1,1,100.0,
Male,Caucasian,25,1,1,1,35.0,
Female,Caucasian,48,1,1,1,100.0,
Male,Caucasian,18,1,1,1,35.0,
Male,Caucasian,26,1,1,1,30.0,
Male,Caucasian,21,1,1,1,40.0,
Female,Caucasian,24,1,1,1,35.0,
Male,Caucasian,29,1,1,1,100.0,
Male,Caucasian,37,1,1,1,100.0,
Male,Caucasian,21,1,1,1,100.0,
Male,Caucasian,23,1,1,1,40.0,
Female,Asian American,22,1,1,1,100.0,
Female,Caucasian,21,1,1,1,25.0,
Female,Caucasian,22,1,1,1,100.0,
Female,Caucasian,25,1,1,1,80.0,
Female,Caucasian,28,1,1,1,25.0,
Male,Caucasian,29,1,1,1,40.0,
Male,Caucasian,28,1,1,1,30.0,
Female,Caucasian,29,1,1,1,50.0,
Male,Caucasian,39,1,1,1,60.0,
Male,Asian American,18,1,1,1,100.0,
Male,Caucasian,50,1,1,1,40.0,
Male,Asian American,23,1,1,1,50.0,
Female,African American,21,1,1,1,1000.0,
Male,Caucasian,25,1,1,1,30.0,
Female,Other,33,1,1,1,40.0,
Female,Caucasian,26,1,1,1,100.0,
Male,Hispanic,32,1,1,1,40.0,
Male,Caucasian,26,1,1,1,100.0,
Female,Caucasian,32,1,1,1,40.0,
Female,Caucasian,30,1,1,1,500.0,
Male,Caucasian,29,1,1,1,30.0,
Female,Caucasian,27,1,1,1,200.0,
Male,Caucasian,19,1,1,1,25.0,
Male,Caucasian,28,1,1,1,500.0,
Female,Caucasian,60,1,1,1,40.0,
Male,Caucasian,41,1,1,1,100.0,
Female,Caucasian,59,1,1,1,30.0,
Male,Caucasian,64,1,1,1,500.0,
Male,Caucasian,30,1,1,1,25.0,
Male,Caucasian,31,1,1,1,80.0,
Male,Caucasian,26,1,1,1,30.0,
Male,Caucasian,27,1,1,1,22.0,
Female,Caucasian,29,1,1,1,40.0,
Male,Caucasian,33,1,1,1,25.0,
Male,Caucasian,27,1,1,1,80.0,
Male,Caucasian,26,1,1,1,100.0,
Male,Caucasian,25,1,1,1,25.0,
Male,Caucasian,22,1,1,1,50.0,
Male,Caucasian,18,1,1,1,30.0,
Male,African American,22,1,1,1,40.0,
Male,Caucasian,22,1,1,1,100.0,
Male,Caucasian,21,1,1,1,50.0,
Male,Caucasian,22,1,1,1,40.0,
Female,Caucasian,34,1,1,1,30.0,
Male,Caucasian,22,1,1,1,25.0,
Male,Asian American,24,1,1,1,30.0,
Female,Caucasian,25,1,1,1,35.0,
Male,Caucasian,41,1,1,1,100.0,
Male,Caucasian,26,1,1,1,40.0,
Male,Caucasian,18,1,1,1,40.0,
Male,Caucasian,29,1,1,1,35.0,
Female,Caucasian,22,1,1,1,200.0,
Male,Caucasian,34,1,1,1,50.0,
Female,Caucasian,21,1,1,1,30.0,
Female,Caucasian,18,1,1,1,30.0,
Female,Caucasian,26,1,1,1,150.0,
Male,Asian American,18,1,1,1,40.0,
Male,Caucasian,25,1,1,1,22.0,
Female,Caucasian,53,1,1,1,1000.0,
Male,Caucasian,24,1,1,1,50.0,
Male,Caucasian,34,1,1,1,100.0,
Female,Caucasian,31,1,1,1,150.0,
Male,Caucasian,21,1,1,1,100.0,
Female,Caucasian,44,1,1,1,50.0,
Female,African American,32,1,1,1,51.0,
Male,Caucasian,21,1,1,1,80.0,
Male,Asian American,18,1,1,1,50.0,
Female,Caucasian,22,1,1,1,33.0,
Female,Asian American,29,1,1,1,21.0,
Female,Asian American,22,1,1,1,25.0,
Female,Asian American,26,1,1,1,100.0,
Male,Caucasian,24,1,1,1,100.0,
Male,Caucasian,26,1,1,1,50.0,
Female,African American,55,1,1,1,100.0,
Female,Caucasian,41,1,1,1,25.0,
Male,Caucasian,18,1,1,1,500.0,
Female,Caucasian,22,1,1,1,40.0,
Female,African American,25,1,1,1,80.0,
Female,Caucasian,18,1,1,1,100.0,
Male,Caucasian,29,1,1,1,25.0,
Female,Caucasian,26,1,1,1,200.0,
Male,Caucasian,24,1,1,1,80.0,
Male,Caucasian,54,1,1,1,100.0,
Male,Asian American,28,1,1,1,100.0,
Male,Caucasian,22,1,1,1,40.0,
Female,Caucasian,51,1,1,1,50.0,
Male,Asian American,35,1,1,1,40.0,
Male,Caucasian,25,1,1,1,50.0,
Female,Caucasian,27,1,1,1,30.0,
Female,Caucasian,37,1,1,1,25.0,
Female,Caucasian,54,1,1,1,50.0,
Female,African American,51,1,1,1,500.0,
Male,Hispanic,20,1,1,1,40.0,
Female,Caucasian,61,1,1,1,60.0,
Male,Caucasian,20,1,1,1,40.0,
Female,Caucasian,23,1,1,1,40.0,
Male,Caucasian,43,1,1,1,23.0,
Male,Caucasian,22,1,1,1,21.0,
Male,Caucasian,22,1,1,1,40.0,
Female,Caucasian,53,1,1,1,40.0,
Male,Caucasian,44,1,1,1,75.0,
Female,Asian American,22,1,1,1,25.0,
Male,Native American,23,1,1,1,100.0,
Male,Caucasian,23,1,1,1,50.0,
Male,Caucasian,18,1,1,1,50.0,
Male,Caucasian,22,1,1,1,30.0,
Female,Asian American,21,1,1,1,40.0,
Female,Caucasian,24,1,1,1,60.0,
Male,Caucasian,22,1,1,1,30.0,
Male,Caucasian,27,1,1,1,100.0,
Male,Asian American,24,1,1,1,50.0,
Male,African American,29,1,1,1,40.0,
Male,Caucasian,45,1,1,1,1000.0,
Female,Caucasian,54,1,1,1,50.0,
Female,Caucasian,22,1,1,1,80.0,
Female,Caucasian,39,1,1,1,500.0,
Female,African American,52,1,1,1,50.0,
Male,Caucasian,29,1,1,1,50.0,
Female,Caucasian,32,1,1,1,25.0,
Male,Caucasian,23,1,1,1,22.0,
